PropertyID,PropType,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Sale_price,RICH
111862,Residential,50,Ranch,Aluminum/Vinyl,1,1963,10,1227,1,6,1,1,186500,NO
212816,Residential,4000,Duplex O/S,Aluminum/Vinyl,2,1913,8,1752,2,4,2,0,186100,NO
140931,Residential,1470,Ranch,Brick,1,1956,5,969,1,3,1,0,186000,NO
141207,Residential,1460,Duplex N/S,Brick,2,1955,8,2282,2,4,2,0,186000,NO
147085,Residential,1740,Duplex N/S,Brick,1.5,1951,9,2085,2,4,2,1,186000,NO
161761,Residential,2100,Cape Cod,Aluminum/Vinyl,1,1950,5,1041,1,3,2,0,186000,NO
163782,Residential,2080,Colonial,Asphalt/Other,2,1926,6,1140,1,3,1,0,186000,NO
172783,Residential,2880,Milwaukee Bungalow,Aluminum/Vinyl,1,1928,16,1487,1,7,2,0,186000,NO
181946,Residential,1890,Dplx Bungalow,Stone,2,1936,10,2350,2,4,2,0,186000,NO
181947,Residential,1890,Dplx Bungalow,Stone,2,1936,10,2450,2,4,2,0,186000,NO
205427,Residential,2720,Cottage,Aluminum/Vinyl,1,1925,6,850,1,2,1,0,186000,NO
211218,Residential,4060,Dplx Bungalow,Aluminum/Vinyl,1.5,1920,18,1678,2,8,3,0,186000,NO
223273,Residential,4160,Milwaukee Bungalow,Aluminum/Vinyl,1,1924,8,1420,1,5,2,0,186000,NO
251046,Residential,4420,Ranch,Aluminum/Vinyl,1,1956,8,876,1,4,1,1,186000,NO
252468,Residential,4700,Cape Cod,Aluminum/Vinyl,1,1942,6,1159,1,3,1,1,186000,NO
162145,Residential,2120,Ranch,Aluminum/Vinyl,1,1951,5,912,1,3,1,0,185900,NO
238735,Residential,4360,Colonial,Aluminum/Vinyl,2,1942,10,1088,1,4,1,0,185900,NO
139136,Residential,1680,Res O/S A & 1/2,Aluminum/Vinyl,1,1880,6,1097,1,3,1,1,185500,NO
145677,Residential,1830,Ranch,Stone,1,1947,6,1662,1,2,2,1,185500,NO
160869,Residential,2040,Colonial,Aluminum/Vinyl,2,1952,12,1422,1,6,1,1,185500,NO
232326,Residential,4320,Ranch,Aluminum/Vinyl,1,1941,4,800,1,2,1,0,185500,NO
251762,Residential,4660,Ranch,Brick,1,1963,8,871,1,4,1,0,185500,NO
193818,Residential,3040,Res O/S 2sty +,Aluminum/Vinyl,2,1875,8,1955,1,4,1,1,185400,NO
104627,Residential,440,Ranch,Brick,1,1966,6,1438,1,3,1,1,185000,NO
104754,Residential,440,Duplex N/S,Brick,1.5,1968,18,2259,2,10,2,0,185000,NO
106041,Residential,480,Ranch,Aluminum/Vinyl,1,1971,6,1108,1,4,1,1,185000,NO
113188,Residential,900,Cottage,Aluminum/Vinyl,1.5,1913,5,1608,1,4,1,1,185000,NO
115488,Residential,980,Ranch,Aluminum/Vinyl,1,1972,5,936,1,3,1,1,185000,NO
115657,Residential,980,Ranch,Aluminum/Vinyl,1,1954,7,1378,1,3,1,1,185000,NO
118823,Residential,1400,Split Level,Aluminum/Vinyl,1,1955,7,1414,1,3,1,1,185000,NO
119329,Residential,1380,Ranch,Wood,1,1955,4,1007,1,2,1,0,185000,NO
127824,Residential,1400,Cape Cod,Aluminum/Vinyl,1,1955,6,1152,1,4,1,0,185000,NO
128783,Residential,1040,Duplex N/S,Aluminum/Vinyl,2,1957,10,2228,2,6,2,1,185000,NO
130327,Residential,1470,Cape Cod,Aluminum/Vinyl,1,1956,6,1154,1,4,1,0,185000,NO
139856,Residential,1490,Cape Cod,Brick,1,1952,6,1432,1,4,2,0,185000,NO
141250,Residential,1460,Ranch,Brick,1,1956,4,1101,1,2,1,0,185000,NO
141564,Residential,1460,Duplex N/S,Wood,2,1956,8,2138,2,3,2,1,185000,NO
143072,Residential,2100,Cape Cod,Brick,1,1950,4,1114,1,2,1,0,185000,NO
143474,Residential,2040,Cape Cod,Brick,1,1949,5,1256,1,3,1,0,185000,NO
145564,Residential,1830,Cape Cod,Brick,1,1941,7,1534,1,4,2,0,185000,NO
146293,Residential,1820,Ranch,Aluminum/Vinyl,1,1938,8,1033,1,5,2,0,185000,NO
153827,Condominium,5720,Mid Rise 4-12 Stories,,1,1904,4,803,1,1,1,0,185000,NO
158538,Residential,1840,Tudor,Brick,1,1931,6,1476,1,3,1,0,185000,NO
161762,Residential,2100,Cape Cod,Brick,1,1948,5,1023,1,3,1,1,185000,NO
163215,Residential,2080,Cape Cod,Aluminum/Vinyl,1,1949,12,1247,1,6,1,0,185000,NO
163269,Residential,2080,Cape Cod,Aluminum/Vinyl,1,1946,5,1036,1,3,1,0,185000,NO
164034,Residential,2080,Cape Cod,Brick,1,1951,6,1442,1,3,1,1,185000,NO
165084,Residential,1870,Colonial,Aluminum/Vinyl,2,1948,6,1240,1,3,1,0,185000,NO
165188,Residential,1870,Milwaukee Bungalow,Aluminum/Vinyl,1,1929,7,1372,1,2,1,0,185000,NO
167417,Residential,2500,Tudor,Brick,1.5,1925,7,2318,1,3,2,1,185000,NO
171505,Residential,2930,Multiple Residential Bldgs,Brick,1.5,1915,13,2417,2,7,2,0,185000,NO
171985,Residential,2930,Triplex,Aluminum/Vinyl,2,1890,13,2565,3,5,3,0,185000,NO
186681,Residential,3000,Multiple Residential Bldgs,Aluminum/Vinyl,2,1896,15,2834,3,6,3,0,185000,NO
190118,Condominium,5800,High Rise > 12 Stories,,1,1967,4,926,1,2,2,0,185000,NO
191231,Condominium,5920,High Rise > 12 Stories,,1,1982,4,887,1,1,1,0,185000,NO
193965,Residential,3040,Colonial,Aluminum/Vinyl,2,1970,7,1467,1,4,1,1,185000,NO
196571,Residential,2600,Dplx Bungalow,Aluminum/Vinyl,1.5,1920,10,2001,2,4,2,0,185000,NO
202232,Residential,2180,Res O/S 2sty +,Aluminum/Vinyl,2,1924,6,1496,1,4,2,0,185000,NO
206349,Residential,2710,Res O/S A & 1/2,Aluminum/Vinyl,1,1916,5,948,1,3,1,0,185000,NO
206575,Residential,2710,Milwaukee Bungalow,Aluminum/Vinyl,1,1926,7,1137,1,4,1,0,185000,NO
212463,Residential,4060,Ranch,Wood,1,1972,5,1180,1,3,1,1,185000,NO
221440,Residential,4240,Ranch,Aluminum/Vinyl,1,1955,5,1049,1,3,2,0,185000,NO
221886,Residential,4260,Cape Cod,Aluminum/Vinyl,1,1949,5,1107,1,3,1,0,185000,NO
233874,Residential,4240,Duplex N/S,Aluminum/Vinyl,2,1953,8,1554,2,4,2,0,185000,NO
236284,Residential,4380,Ranch,Wood,1,1953,5,879,1,3,1,1,185000,NO
237844,Residential,4410,Ranch,Aluminum/Vinyl,1,1945,5,717,1,2,1,0,185000,NO
242655,Residential,4580,Ranch,Aluminum/Vinyl,1,1943,4,689,1,2,1,0,185000,NO
245087,Residential,4620,Ranch,Aluminum/Vinyl,1,1941,8,812,1,4,1,0,185000,NO
246993,Residential,4400,Res O/S 1 Story,Aluminum/Vinyl,1,1930,4,702,1,2,2,0,185000,NO
250690,Residential,4340,Ranch,Brick,1,1956,5,948,1,3,1,1,185000,NO
251630,Residential,4660,Ranch,Brick,1,1963,5,1001,1,3,1,0,185000,NO
252407,Residential,4700,Cape Cod,Brick,1.5,1956,5,1140,1,3,1,0,185000,NO
255883,Residential,4660,Ranch,Aluminum/Vinyl,1,1959,10,931,1,6,1,0,185000,NO
117099,Residential,1020,Triplex,Aluminum/Vinyl,2,1964,15,3366,3,9,3,3,184900,NO
141340,Residential,1460,Duplex N/S,Brick,1.5,1953,10,1930,2,4,2,0,184900,NO
152713,Condominium,5710,Condo Duplex,,1,2003,10,1130,1,6,1,1,184900,NO
161932,Residential,2120,Cape Cod,Brick,1,1952,12,1138,1,8,1,0,184900,NO
172403,Residential,2890,Duplex O/S,Aluminum/Vinyl,2,1912,16,2165,2,8,2,0,184900,NO
227241,Condominium,5293,High Rise > 12 Stories,,1,1965,5,1174,1,2,1,0,184900,NO
118362,Residential,1020,Townhouse,Aluminum/Vinyl,2,1969,12,2508,2,6,2,2,184000,NO
161357,Residential,2100,Cape Cod,Aluminum/Vinyl,1,1952,8,1125,1,6,1,0,184000,NO
161519,Residential,2100,Duplex N/S,Aluminum/Vinyl,1.5,1953,14,1775,2,6,2,0,184000,NO
177060,Residential,2920,Duplex O/S,Aluminum/Vinyl,1.5,1889,8,1739,2,4,2,0,184000,NO
213568,Residential,4120,Res O/S A & 1/2,Aluminum/Vinyl,1,1900,9,1845,1,5,2,0,184000,NO
230336,Residential,4180,Res O/S A & 1/2,Wood,1,1912,12,1204,1,8,1,1,184000,NO
239695,Residential,4520,Triplex,Aluminum/Vinyl,1.5,1914,11,1832,3,4,3,0,184000,NO
246403,Residential,4360,Cape Cod,Aluminum/Vinyl,1,1953,12,1300,1,8,1,1,184000,NO
145680,Residential,1830,Cape Cod,Brick,1,1944,6,1406,1,3,1,0,183500,NO
222491,Residential,4000,Res O/S A & 1/2,Aluminum/Vinyl,1,1915,6,1364,1,3,1,0,183500,NO
107841,Residential,560,Ranch,Aluminum/Vinyl,1,1963,10,1132,1,6,2,0,183000,NO
115862,Residential,980,Cape Cod,Aluminum/Vinyl,1,1955,6,1103,1,4,2,0,183000,NO
122236,Residential,1200,Ranch,Brick,1,1955,5,1135,1,3,1,1,183000,NO
142581,Residential,2100,Ranch,Aluminum/Vinyl,1,1950,5,1228,1,2,1,1,183000,NO
161049,Residential,2040,Ranch,Aluminum/Vinyl,1,1954,4,1036,1,2,1,1,183000,NO
172213,Residential,2880,Multiple Residential Bldgs,Aluminum/Vinyl,1,1900,38,3050,4,18,4,0,183000,NO
187684,Residential,2970,Cape Cod,Aluminum/Vinyl,1.5,1986,12,1822,1,6,2,0,183000,NO
210182,Lg Apartment,6780,AP1 (Conventional Apt with 4-6 Units),Alum/Vynyl Siding,2,1894,NULL,2718,4,NULL,0,0,183000,NO
259519,Residential,4920,Ranch,Aluminum/Vinyl,1,1970,10,1018,1,6,1,0,183000,NO
114456,Residential,900,Cape Cod,Brick,1,1945,6,1449,1,4,1,1,182900,NO
138144,Residential,1500,Cape Cod,Asphalt/Other,1.5,1930,9,1875,1,3,2,0,182500,NO
164006,Residential,2080,Cape Cod,Stone,1,1948,6,1893,1,4,2,0,182500,NO
220432,Residential,4000,Duplex O/S,Asphalt/Other,2,1906,10,2180,2,4,2,0,182500,NO
248579,Residential,4330,Ranch,Aluminum/Vinyl,1,1959,5,1079,1,3,2,0,182500,NO
106046,Residential,480,Ranch,Aluminum/Vinyl,1,1971,5,1108,1,3,1,1,182000,NO
107351,Residential,600,Ranch,Brick,1,1961,10,1188,1,6,1,1,182000,NO
112186,Residential,700,Ranch,Aluminum/Vinyl,1,1957,5,896,1,3,1,1,182000,NO
117166,Residential,1020,Ranch,Brick,1,1961,5,1167,1,3,1,1,182000,NO
117843,Commercial,6212,Residence With Commercial Usage,Alum/Vynyl Siding,1,1940,0,1824,2,3,0,0,182000,NO
144101,Residential,2040,Ranch,Brick,1,1954,5,1150,1,3,1,0,182000,NO
158122,Residential,1740,Duplex O/S,Masonry/Frame,2,1938,10,2319,2,4,2,0,182000,NO
159134,Residential,1840,Colonial,Masonry/Frame,2,1928,6,1716,1,3,1,1,182000,NO
159534,Residential,1850,Duplex N/S,Stone,2,1945,8,2006,2,4,2,0,182000,NO
205493,Residential,2720,Milwaukee Bungalow,Aluminum/Vinyl,1,1922,7,1044,1,4,1,0,182000,NO
216427,Condominium,5283,Mid Rise 4-12 Stories,,1,1921,1,536,1,1,1,0,182000,NO
247311,Residential,4420,Ranch,Aluminum/Vinyl,1,1954,5,886,1,2,1,0,182000,NO
252866,Residential,4700,Res O/S A & 1/2,Wood,1.5,1910,7,1269,1,4,1,0,182000,NO
102314,Residential,240,Ranch,Asphalt/Other,1,1973,5,906,1,3,1,1,181700,NO
258078,Residential,4840,Ranch,Aluminum/Vinyl,1,1959,5,902,1,3,2,0,181663,NO
109967,Residential,480,Ranch,Aluminum/Vinyl,1,1958,5,1068,1,3,1,0,181000,NO
142939,Residential,2100,Cape Cod,Aluminum/Vinyl,1,1953,5,954,1,3,1,0,181000,NO
146390,Residential,1820,Milwaukee Bungalow,Brick,1,1927,6,1755,1,3,2,0,181000,NO
211768,Residential,4060,Cottage,Aluminum/Vinyl,1,1894,13,1347,1,8,2,1,181000,NO
231032,Residential,4000,Cape Cod,Aluminum/Vinyl,1,1949,6,1002,1,3,1,0,181000,NO
248251,Condominium,5318,Condo Ranch,,1,1982,4,1152,1,2,1,1,181000,NO
253377,Residential,4720,Ranch,Aluminum/Vinyl,1,1955,4,672,1,2,1,0,181000,NO
253986,Residential,4720,Cape Cod,Aluminum/Vinyl,1.5,1941,6,1327,1,3,1,1,181000,NO
141629,Residential,1460,Ranch,Aluminum/Vinyl,1,1955,5,1008,1,3,1,1,180829,NO
167412,Residential,2500,Ranch,Brick,1,1954,5,1283,1,3,1,1,180700,NO
115341,Residential,960,Triplex,Brick,2,1960,11,2890,3,5,3,0,180645,NO
117080,Residential,1020,Triplex,Aluminum/Vinyl,2,1976,22,2048,3,10,3,0,180645,NO
191367,Condominium,5942,Mid Rise 4-12 Stories,,2,2000,3,935,1,1,1,1,180500,NO
140961,Residential,1470,Ranch,Aluminum/Vinyl,1,1957,5,1140,1,3,1,0,180100,NO
99176,Residential,40,Townhouse,Aluminum/Vinyl,2,1979,10,2222,2,6,2,2,180000,NO
101723,Residential,240,Colonial,Asphalt/Other,2,1980,6,1443,1,3,1,1,180000,NO
102406,Residential,240,Ranch,Aluminum/Vinyl,1,1972,6,1120,1,4,1,1,180000,NO
104133,Residential,380,Ranch,Brick,1,1955,5,923,1,3,2,0,180000,NO
106423,Residential,520,Ranch,Asphalt/Other,1,1965,10,1226,1,6,1,1,180000,NO
107498,Residential,600,Ranch,Aluminum/Vinyl,1,1964,5,1002,1,3,1,1,180000,NO
108011,Residential,560,Ranch,Aluminum/Vinyl,1,1964,12,1296,1,6,1,1,180000,NO
109590,Residential,480,Ranch,Brick,1,1958,5,1094,1,3,1,0,180000,NO
109926,Residential,480,Ranch,Aluminum/Vinyl,1,1958,10,966,1,6,2,0,180000,NO
113013,Residential,900,Cape Cod,Aluminum/Vinyl,1,1946,5,1254,1,3,1,1,180000,NO
115592,Residential,980,Ranch,Aluminum/Vinyl,1,1961,5,1036,1,3,2,0,180000,NO
116268,Residential,980,Townhouse,Aluminum/Vinyl,2,1964,10,2177,2,6,2,2,180000,NO
116301,Residential,980,Ranch,Aluminum/Vinyl,1,1961,5,1078,1,3,2,0,180000,NO
117914,Residential,1040,Ranch,Aluminum/Vinyl,1,1962,5,1193,1,3,1,1,180000,NO
117968,Residential,1040,Ranch,Wood,1,1956,18,1418,1,9,1,2,180000,NO
