151492,Residential,3060,Res O/S 2sty +,2.0,1902.0,8.0,2221.0,1,3.0,2,1,610000,NO
190062,Residential,3240,Multiple Residential Bldgs,2.0,1896.0,24.0,4456.0,5,11.0,5,0,600000,NO
227517,Residential,4560,Res O/S A & 1/2,1.5,1909.0,7.0,1859.0,1,3.0,2,1,592500,NO
151470,Residential,3060,Res O/S 2sty +,2.0,1901.0,7.0,2592.0,1,3.0,1,1,585000,NO
173439,Residential,3160,Res O/S 2sty +,2.0,1901.0,8.0,2960.0,1,5.0,2,0,585000,NO
172216,Commercial,6260,Tavern,2.0,1906.0,0.0,6322.0,5,3.0,0,0,575000,NO
228020,Residential,4540,Res O/S 2sty +,2.0,1907.0,7.0,2118.0,1,3.0,2,1,570000,NO
190000,Residential,3240,Multiple Residential Bldgs,2.0,1880.0,18.0,4883.0,4,9.0,4,0,550000,NO
174795,Residential,3170,Res O/S 2sty +,2.0,1903.0,8.0,2520.0,1,4.0,2,0,537500,NO
192337,Residential,3240,Res O/S 2sty +,2.0,1880.0,20.0,2547.0,1,5.0,2,0,531000,NO
110765,Residential,800,Tudor,2.0,2006.0,9.0,4259.0,1,4.0,3,1,530000,NO
110720,Residential,800,Colonial,2.0,2004.0,18.0,2607.0,1,8.0,3,1,525000,NO
187877,Residential,2910,Colonial,2.0,2004.0,8.0,2962.0,1,3.0,2,1,525000,NO
234891,Commercial,6288,Office Building - Multi Story ( Ofc & Apt),2.0,1962.0,0.0,4590.0,4,5.0,0,0,525000,NO
162409,Residential,2120,Ranch,1.0,1964.0,7.0,2978.0,1,3.0,3,0,510000,NO
173879,Residential,3160,Duplex O/S,2.0,1908.0,15.0,4362.0,2,7.0,3,0,510000,NO
174751,Residential,3170,Res O/S 2sty +,2.0,1905.0,9.0,2738.0,1,5.0,1,1,509900,NO
173299,Residential,3160,Dplx Bungalow,2.0,1916.0,12.0,3440.0,2,8.0,2,0,505000,NO
174237,Residential,3060,Duplex O/S,2.0,1922.0,15.0,4272.0,2,7.0,5,0,505000,NO
226526,Residential,4910,Colonial,2.0,2012.0,0.0,2026.0,1,4.0,3,0,505000,NO
174126,Residential,3060,Res O/S A & 1/2,1.5,1913.0,8.0,2523.0,1,4.0,2,0,500000,NO
174147,Residential,3060,Res O/S 2sty +,2.0,1901.0,7.0,2082.0,1,3.0,1,1,500000,NO
189982,Residential,3240,Multiple Residential Bldgs,2.0,1895.0,16.0,3757.0,3,7.0,4,0,500000,NO
190523,Residential,3060,Res O/S 2sty +,2.0,1915.0,8.0,2958.0,1,5.0,3,1,500000,NO
192446,Commercial,6264,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1890.0,0.0,5542.0,4,7.0,0,0,500000,NO
240984,Residential,4580,Duplex O/S,2.0,1890.0,10.0,2355.0,2,5.0,2,0,500000,NO
173859,Residential,3170,Res O/S 2sty +,2.0,1907.0,8.0,2828.0,1,4.0,1,1,495000,NO
188594,Residential,2910,Colonial,2.0,2003.0,12.0,2028.0,1,6.0,2,2,495000,NO
191069,Residential,3240,Triplex,2.0,1875.0,16.0,2824.0,3,5.0,3,1,495000,NO
227227,Residential,4540,Colonial,2.0,2019.0,6.0,1606.0,1,3.0,3,1,491000,NO
239480,Commercial,6284,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1928.0,0.0,6610.0,11,5.0,0,0,490000,NO
247125,Residential,4425,Colonial,2.0,2004.0,18.0,3790.0,1,8.0,3,1,489900,NO
151652,Residential,3160,Tudor,2.0,1921.0,8.0,1944.0,1,3.0,2,0,487500,NO
173463,Residential,3160,Res O/S 2sty +,2.0,1906.0,9.0,2185.0,1,6.0,1,2,485000,NO
188789,Residential,3240,Contemporary,2.0,2016.0,4.0,1877.0,1,2.0,2,0,483000,NO
151422,Residential,3060,Res O/S 2sty +,2.0,1902.0,7.0,2468.0,1,4.0,1,1,480000,NO
215858,Commercial,6280,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1890.0,0.0,7343.0,8,6.0,0,0,480000,NO
152742,Residential,3320,Res O/S 2sty +,2.0,1927.0,8.0,3398.0,1,4.0,1,1,478500,NO
175429,Residential,3190,Multiple Residential Bldgs,2.0,1902.0,18.0,4063.0,3,9.0,3,0,475000,NO
183217,Residential,2580,Milwaukee Bungalow,1.0,1928.0,9.0,2696.0,1,5.0,2,0,475000,NO
162362,Residential,2140,Ranch,1.0,1952.0,7.0,2423.0,1,3.0,2,1,470000,NO
207927,Residential,4020,Res O/S 2sty +,2.0,1880.0,18.0,2814.0,1,8.0,3,1,469000,NO
105176,Residential,820,Colonial,2.0,2016.0,0.0,3328.0,1,5.0,3,1,467000,NO
110725,Residential,800,Colonial,2.0,2004.0,10.0,3887.0,1,4.0,4,1,465000,NO
190061,Residential,3240,Milwaukee Bungalow,1.0,1924.0,7.0,1740.0,1,5.0,2,0,460000,NO
230459,Commercial,6284,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1927.0,0.0,7560.0,10,6.0,0,0,460000,NO
250831,Residential,4430,Colonial,2.0,1990.0,8.0,2628.0,1,3.0,2,1,460000,NO
247104,Residential,4425,Colonial,2.0,2003.0,7.0,2421.0,1,3.0,2,1,458000,NO
197320,Residential,2660,Tudor,2.0,1928.0,10.0,3617.0,1,5.0,2,2,455000,NO
227812,Residential,4540,Res O/S A & 1/2,1.0,1919.0,6.0,1101.0,1,3.0,1,1,455000,NO
